Province,Date,Population,Labourforce,Employment,Fulltime,Parttime,Unemployment,Unemploymentrate,Participationrate,Employmentrate,Goodsproducingsector,Agriculture,Forestryfishingminingquarryinoilgas,Utilities,Construction,Manufacturing,Servicesproducingsector ,Wholesaleretailtrade,Transportwarehousing,Financeinsurancerealestaterentalleasing,scientifictechnical,Businessbuildingsupportservices ,Educationalservices,Healthsocialassistance,Infoculturerec,Accommodationfoodservices,Otherservices,Publicadministration,Totalemployed
Newfoundland and Labrador,20-Jan,439.8,252.5,222.5,187.7,34.8,30,11.9,57.4,50.6,43.9,1.6,12.2,2.4,18.5,9.4,178.6,35.3,11.4,6.1,9.2,7.2,17.4,38.3,6.4,17.3,12,18.1,222.5
Newfoundland and Labrador,20-Feb,439.7,253.5,223.2,185.8,37.4,30.3,12,57.7,50.8,44.6,1.6,13.6,2.5,17.9,9,178.7,36,11.3,6.8,9.1,7.1,16.9,38.4,6.3,17.8,11.9,17.1,223.2
Newfoundland and Labrador,20-Mar,439.8,246.3,217.4,186.9,30.4,28.9,11.7,56,49.4,44.3,1.6,13.1,2.5,18.2,9,173.1,34,11.7,7,9.3,7.2,16.6,38.5,5.4,15.4,11.6,16.4,217.4
Newfoundland and Labrador,20-Apr,439.7,224.1,188.2,159.6,28.7,35.8,16,51,42.8,33.8,1.8,9,2.4,14.1,6.5,154.4,28.9,9.1,5.9,8.8,6.7,16.3,37.1,5,12.6,8.7,15.3,188.2
Newfoundland and Labrador,20-May,439.4,236.9,198.2,168.7,29.5,38.7,16.3,53.9,45.1,35.2,0.7,12.8,2.4,11.5,7.8,163.1,31.8,10,6.5,9.1,6.3,16.9,37.5,5.2,13.3,9.5,17,198.2
Newfoundland and Labrador,20-Jun,439.3,244.3,204.2,168.5,35.7,40.2,16.5,55.6,46.5,37.2,1.7,12.2,2.6,12.1,8.6,167,34,9.1,7,9.6,6.9,15.8,37,5.2,14.8,10.7,17,204.2
Newfoundland and Labrador,20-Jul,439.3,247.1,208.5,173.6,34.9,38.6,15.6,56.2,47.5,37.4,1.2,12.8,2.6,13.2,7.6,171.1,32,10.5,8,9.5,7.1,15.3,38.6,6.7,14.8,10.8,17.8,208.5
Newfoundland and Labrador,20-Aug,439.3,244.6,212.5,175.8,36.7,32.1,13.1,55.7,48.4,37.1,0.9,13.5,2.7,11.9,8,175.5,32.9,10,7.4,9.7,7.4,16.3,40.7,6.5,14.8,11.7,17.9,212.5
Newfoundland and Labrador,20-Sep,439.3,253.9,216.2,181.8,34.3,37.7,14.8,57.8,49.2,39.9,0.9,12,2.9,14,10.1,176.3,34.1,9.8,7.9,9.8,5.7,17.4,41.9,6.4,15.1,10.5,17.8,216.2
Newfoundland and Labrador,20-Oct,439.3,254.7,222.1,185.5,36.5,32.7,12.8,58,50.6,41.1,1,11.8,3,15.9,9.5,180.9,36.6,10.3,8.1,9.8,5.8,17.3,42.9,5.9,15.4,10.4,18.4,222.1
Newfoundland and Labrador,20-Nov,439.4,255.6,224.4,186.5,37.9,31.3,12.2,58.2,51.1,43.3,0.9,12.6,2.9,17.4,9.4,181.1,34.5,10.4,7.9,9.8,5.9,17.9,42.3,7.2,16.1,10,19.2,224.4
Prince Edward Island,20-Jan,130.2,86.8,80.3,68.4,11.9,6.5,7.5,66.7,61.7,20.1,4.6,1.9,0.2,7.3,6.1,60.3,11.5,2.8,3.1,4.2,2.2,5.7,11.4,2.3,5.9,3.6,7.7,80.3
Prince Edward Island,20-Feb,130.4,87.6,80.6,68.5,12.2,7,8,67.2,61.8,20,4.6,1.7,0.2,7.3,6.2,60.6,11.5,2.9,3.1,4.1,2.2,5.5,11.6,2.4,6,3.5,7.9,80.6
